Cana de Galilea,,
Aegypto,7014986,Egypt
Aethiopia,7000489, Ethiopia
Alcantara,7345395,Alcántara
Alemania,7000084,Germany
Algarues,,
Algezira,,
Andaluzia,7024275,Andalusia
Aragon,7024276,Aragon
Aragõ,7024276,Aragon
Arenas,,
Auis,,
Aſtorga,,
Aſturias de Ouiedo,,
Babilonia,7593899,Babylonia
Barcelona,7007426,Barcelona
Bohemia,7006470,Bohemia
Burgos,7002810,Burgos
Caſtilla,7002784,Castile
Caceres,7002811,Cáceres
Cafarnaum,7001364,Kefar Nahum
Calatraua,,
Calatrauaen,,
Canaam,7033030,Canaan
Caria,,
Cataluña,7030216,Catalonia
Caſtro Xeriz,,
Cerdeña,,
China,8697460,China
Corcega,,
Cordoua,,
Cuenca,,
Egypto,7014986,Egypt
Eſpana,1000095,Spain
Eſpaña,1000095,Spain
Eſtremadura,7336589,Extremadura
Flandes,7024097,Flanders
Florida,,
Francia,,
Galilea,,
Galizia,,
Gibraltar,,
Granada,,
Guatemala,,
Guipuzcoa,,
Hespaña,,
Heſpaña,,
Hieruſalem,,
Iaen,,
Ierico,,
India Oriental,,
indias,,
Inglaterra,7002445,England
Italia,,
Iturea,,
Iudea,,
Iſrael,,
Lacedemonia,,
Leon,,
Leõ,,
Macedonia,7001349,Macedonia
Madrid,,
Mallorcas,,
Malta,7005729,Malta
Medina,7003869,Medina
Meſopotamia,,
Milan,7005903,Milan
Monteſa,,
Murcia,,
Mõteſa,,
Napoles,,
Nauarra,,
Nueua Heſpaña,7024417,New Spain
Ouiedo,,
Oſſuna,,
Perſia,,
Plaſencia,,
Portugal,,
Pruſsia,,
Pãplona,7008233,Pamplona
Remon,,
Ronces valles,,
Salamanca,7008561,Salamanca
Salamãca,7008561,Salamanca
Segouia,,
Seuilla,,
Sicilia,7594681,Sicily
Sicilias,7594681,Sicily
Sodoma,,
Syria,,
Talauera,,
TAlauera,,
talavera,,
TALAVERA,,
Teſſalia,7001399,Thessaly
Thebas,,
Thracia,7001303,Thrace
Toledo,,
Toſtado,,
Traconitide,,
Traſmiera,,
Trento,,
Valencia,,
Valẽcia,,
Valladolid,,
Vizcaia,,